frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
125,1.0,[2044.6848987805336 1181.960901165188 2591.8851994116853 1646.54462331431],[2239.9951171875 1478.71142578125 2389.3388671875 1549.808349609375],0.44676634669303894,AF05JEC,0.33498108246414304
126,6.0,[857.1335950392299 1581.0037974679642 1644.851520671571 2156.9827442650612],[1130.6048583984375 1968.12451171875 1335.9854736328125 2064.699462890625],0.6053339838981628,GY15OGJ,0.6804033765606669
126,1.0,[2048.2081337974314 1186.3125155531375 2594.831610415 1652.2105279568377],[2250.230224609375 1486.781982421875 2414.086181640625 1558.010009765625],0.4465695917606354,AP05JEO,0.16785949605923053
127,6.0,[851.6798691891584 1588.0273955989746 1642.7030859244499 2157.1203834929474],[1134.6470947265625 1979.164306640625 1335.6617431640625 2066.015625],0.5938190221786499,GY15OGJ,0.6009076130602646
127,33.0,[2238.88865022646 1609.9147931999385 2962.6645617047166 2160.0440248331533],[2509.89111328125 1957.020263671875 2706.3193359375 2057.60009765625],0.25577202439308167,LM13VCV,0.3801356001661085
128,8.0,[1122.7688378002767 1097.1815767432088 1616.8181950904104 1526.2697878084994],[1287.6280517578125 1350.110595703125 1439.2606201171875 1420.412841796875],0.4849655330181122,NK05ZZK,0.24988005113172274
128,1.0,[2048.845735150303 1189.6905831215204 2596.11026895576 1658.3506332201127],[2240.906982421875 1483.4490966796875 2424.615966796875 1554.9722900390625],0.4391744136810303,AP05JEO,0.30602541692730384
128,33.0,[2240.937779080825 1613.8440725064268 2968.236318216468 2156.8775757335334],[2550.399169921875 1983.942626953125 2714.3876953125 2053.69580078125],0.3416396975517273,LM13VCV,0.337553643248994
129,6.0,[839.8143015182155 1601.5294657577933 1639.1262245601765 2155.447025613574],[1113.8675537109375 2004.0479736328125 1331.2413330078125 2092.1435546875],0.6539894938468933,GX15OGJ,0.3132711079186874
129,1.0,[2046.0247576842876 1193.7483225902483 2595.4197224834797 1664.3502019487937],[2262.613037109375 1496.8807373046875 2427.591552734375 1557.271484375],0.4467305541038513,AP05JEO,0.40132890563386014
130,6.0,[834.3938260621535 1609.2395473615804 1638.789676125552 2155.572919674808],[1109.944091796875 2007.6767578125 1315.87548828125 2103.67822265625],0.675926148891449,GY15OGJ,0.37126953923619116
130,8.0,[1118.8219974356955 1100.7481118223864 1615.6215041902972 1529.7023454091468],[1284.5391845703125 1355.96044921875 1428.7607421875 1423.4749755859375],0.4813458025455475,YH05ZZK,0.6504615236822872
130,1.0,[2048.2811455599476 1196.6153456603563 2598.0117616246707 1669.6726942784305],[2263.987548828125 1502.97802734375 2437.69921875 1569.4779052734375],0.45422595739364624,AP05JEO,0.18367597399071872
130,33.0,[2244.1354766066092 1623.0815410196947 2978.924712456234 2152.378686476805],[2514.381103515625 1981.792236328125 2714.4794921875 2090.5546875],0.3396463394165039,LH13VCV,0.5856393610717713
131,33.0,[2244.261329417399 1629.8109527145812 2983.376622096187 2151.6933949733098],[2519.6669921875 2001.747802734375 2717.1337890625 2099.766357421875],0.5248733758926392,LM13VCV,0.39331784979996387
131,1.0,[2047.3781240546805 1200.88718305733 2599.623599135516 1675.0262443848444],[2260.251953125 1505.4781494140625 2433.158447265625 1576.0477294921875],0.4715592563152313,AP05JEO,0.1356780010870752
131,8.0,[1116.87459486358 1105.4122678302372 1615.4158720808512 1532.9088703832056],[1279.88134765625 1360.5330810546875 1420.3338623046875 1425.467041015625],0.470153272151947,YH05ZZX,0.3343025372736927
132,33.0,[2244.486144193912 1637.2915989240985 2984.727705517428 2151.6226447835434],[2520.796142578125 2008.336669921875 2722.363037109375 2099.4140625],0.6119638085365295,LN13VCV,0.3208221091004859
132,6.0,[831.9824890598649 1624.0752785206143 1635.865994358067 2156.9141661674016],[1107.89990234375 2037.1175537109375 1329.6307373046875 2116.99462890625],0.5952221155166626,GX15OGJ,0.34294528332579327
132,1.0,[2045.4926217569339 1206.142712433726 2600.6970071519836 1680.9327389813598],[2255.54150390625 1500.513427734375 2435.87109375 1581.1728515625],0.5819823741912842,AP05JEO,0.28018223602183373
133,33.0,[2244.04137333874 1643.6137837102244 2985.3827156297352 2152.254901842517],[2524.517578125 2003.7139892578125 2720.7275390625 2102.76953125],0.6061592102050781,LH13VCV,0.322653866010009
